[1,1];;[-0.5 -0.5];;[ 2.1 -2.1];;[-3.  3.];;[-2.  2.];
0,01;0,1;0,01;0,1;0,01;0,1;0,01;0,1;0,01;0,1
[0.73075 , 0.41438];[1.37033, 0.13176];[-0.73075, -0.41438];[-1.54924, -0.21839];[ 1.66511, -1.17278];[0.50900, 0.63400];[-2.18880, 0.58683 ];[-0.84751, -0.57242];[-1.66433, 1.17127];[-1.66098, -0.52553]
