Media de la dispersion 0;Media de los tiempos 753
Media de la dispersion 0;Media de los tiempos 765
Media de la dispersion 0;Media de los tiempos 738
Media de la dispersion 0;Media de los tiempos 721
Media de la dispersion 0;Media de los tiempos 901
Media de la dispersion 40.2465;Media de los tiempos 884
Media de la dispersion 72.4288;Media de los tiempos 889
Media de la dispersion 141.103;Media de los tiempos 911
Media de la dispersion 25.54;Media de los tiempos 798
Media de la dispersion 29.5956;Media de los tiempos 826
Media de la dispersion 57.2449;Media de los tiempos 1122
Media de la dispersion 16.5574;Media de los tiempos 1262
Media de la dispersion 56.115;Media de los tiempos 1074
Media de la dispersion 30.176;Media de los tiempos 1089
Media de la dispersion 59.3293;Media de los tiempos 1039
Media de la dispersion 194.545;Media de los tiempos 1776
Media de la dispersion 110.526;Media de los tiempos 1827
Media de la dispersion 133.832;Media de los tiempos 1872
Media de la dispersion 190.166;Media de los tiempos 1692
Media de la dispersion 201.272;Media de los tiempos 1679
Media de la dispersion 86.718;Media de los tiempos 3189
Media de la dispersion 85.1128;Media de los tiempos 2907
Media de la dispersion 48.3613;Media de los tiempos 2939
Media de la dispersion 112.003;Media de los tiempos 3105
Media de la dispersion 60.6683;Media de los tiempos 3068
Media de la dispersion 405.103;Media de los tiempos 7238
Media de la dispersion 566.252;Media de los tiempos 7625
Media de la dispersion 536.117;Media de los tiempos 7247
Media de la dispersion 493.344;Media de los tiempos 7751
Media de la dispersion 506.573;Media de los tiempos 7210
Media de la dispersion 128.982;Media de los tiempos 4216
Media de la dispersion 112.75;Media de los tiempos 4639
Media de la dispersion 95.0784;Media de los tiempos 5096
Media de la dispersion 130.882;Media de los tiempos 4495
Media de la dispersion 53.2606;Media de los tiempos 4932
Media de la dispersion 604.47;Media de los tiempos 12967
Media de la dispersion 763.368;Media de los tiempos 13522
Media de la dispersion 564.888;Media de los tiempos 13071
Media de la dispersion 839.168;Media de los tiempos 13627
Media de la dispersion 632.916;Media de los tiempos 12948
Media de la dispersion 120.229;Media de los tiempos 7744
Media de la dispersion 180.147;Media de los tiempos 7606
Media de la dispersion 120.674;Media de los tiempos 7681
Media de la dispersion 128.046;Media de los tiempos 7671
Media de la dispersion 140.933;Media de los tiempos 7887
Media de la dispersion 801.091;Media de los tiempos 21851
Media de la dispersion 768.012;Media de los tiempos 22186
Media de la dispersion 834.896;Media de los tiempos 21962
Media de la dispersion 885.309;Media de los tiempos 21827
Media de la dispersion 1029.98;Media de los tiempos 21880
