0;199
0;196
0;198
0;195
0;193
13,4793;677
16,7546;633
20,9588;599
19,9912;615
23,2651;599
3,60699;509
5,32526;511
5,25067;514
3,6246;510
4,39197;511
84,96;2081
96,7508;1944
98,3331;1989
68,7222;1955
78,1569;2448
31,2307;1674
19,8064;1650
32,8003;1611
24,6125;1438
31,0551;1399
328,802;8114
266,508;8089
279,768;8301
219,043;8091
306,196;8622
30,9986;2128
47,1063;1983
50,3503;2182
37,6372;1972
28,7645;1876
237,614;13287
389,515;13340
383,042;13248
288,49;13344
312,665;13148
50,8594;3006
45,1766;2941
28,2677;3141
57,8281;2783
57,7316;2804
444,79;20292
357,873;20288
334,436;20557
453,057;19988
391,491;20417
