0;1265
0;1620
0;1207
0;1351
0;1128
13,4793;3575
16,7546;3409
16,7612;3450
17,0692;4033
23,2651;3592
3,67407;2762
2,91382;2761
3,46381;2745
4,76233;2684
5,87323;2788
73,2787;11421
55,3704;12054
54,7948;10837
56,8737;12232
59,9193;10423
23,8917;7013
26,9417;7045
17,1407;8457
27,6382;8703
17,4458;7090
215,816;36248
178,448;37011
219,225;32140
196,851;31749
208,06;31923
21,6151;7600
29,2375;7699
28,9177;7990
27,4158;7735
26,9213;7568
194,834;47277
278,698;48351
279,849;49074
232,9;51036
260,479;52379
41,636;12300
49,0616;12119
40,1099;11877
35,4027;13849
40,2102;11318
397,583;72858
285,325;71830
323,993;70851
324,587;71434
295,445;69262
